h3_cell,event_count,latitude,longitude,population,female,male,rate_per_1000,rate_per_10000
8608b31afffffff,518,58.587745,16.192421,72544.0,36797.0,35760.0,7.140494044993383,71.40494044993383
86088645fffffff,505,59.195363,17.625689,37855.0,18538.0,19329.0,13.340377757231542,133.40377757231542
8608a82dfffffff,460,62.63227,17.940871,16482.0,8428.0,8050.0,27.90923431622376,279.0923431622376
861f2d687ffffff,416,56.663445,16.356779,5863.0,3040.0,2825.0,70.95343680709534,709.5343680709534
8608c45a7ffffff,412,65.825119,21.688703,15501.0,7757.0,7742.0,26.578930391587637,265.78930391587636
8608f170fffffff,402,65.316698,21.480036,15874.0,8142.0,7733.0,25.324429885347108,253.24429885347107
8608a3417ffffff,399,60.484304,15.433969,25212.0,12463.0,12741.0,15.825797239409804,158.25797239409803
8608b3c27ffffff,383,58.410807,15.621373,21992.0,10839.0,11149.0,17.415423790469262,174.15423790469262
8608b675fffffff,366,57.782614,14.161788,37543.0,19097.0,18448.0,9.748821351516927,97.48821351516928
86088699fffffff,363,59.371249,16.509805,33401.0,16985.0,16424.0,10.867938085686058,108.67938085686058
861f280c7ffffff,360,56.161224,15.5869,24010.0,11514.0,12492.0,14.993752603082049,149.9375260308205
8608a345fffffff,333,60.60646,15.6355,22557.0,11722.0,10839.0,14.762601409761936,147.62601409761936
861f2e00fffffff,332,56.158915,13.766765,6955.0,3549.0,3406.0,47.7354421279655,477.35442127965496
8608ee8d7ffffff,321,67.8558,20.225282,9477.0,4416.0,5048.0,33.871478315922765,338.71478315922764
8608a950fffffff,312,62.928433,17.786295,5011.0,2504.0,2502.0,62.26302135302335,622.6302135302335
860886237ffffff,305,59.619146,17.723419,13441.0,6767.0,6680.0,22.691764005654342,226.9176400565434
8608b6887ffffff,295,57.721035,12.939819,51381.0,25956.0,25420.0,5.741421926393024,57.41421926393025
8608866a7ffffff,289,59.23633,17.982156,77605.0,38794.0,38817.0,3.723986856516977,37.23986856516977
8608e305fffffff,284,67.1379,20.659362,3411.0,1638.0,1755.0,83.26004104368221,832.600410436822
861f2e597ffffff,283,55.870348,12.83008,23233.0,11758.0,11468.0,12.180949511470752,121.80949511470753
8608866f7ffffff,281,59.307903,18.156042,37118.0,18904.0,18203.0,7.570450994126839,75.70450994126838
860886697ffffff,279,59.17555,18.14137,43160.0,21199.0,21971.0,6.464318813716404,64.64318813716405
860886787ffffff,278,59.245941,17.840858,38335.0,18494.0,19853.0,7.251858614842833,72.51858614842833
8608a9897ffffff,261,63.165407,17.277135,3495.0,1757.0,1734.0,74.67811158798284,746.7811158798283
860896adfffffff,258,57.468412,18.486745,444.0,201.0,234.0,581.081081081081,5810.81081081081
860886b9fffffff,253,59.635691,17.077823,17227.0,8689.0,8541.0,14.686248331108143,146.86248331108143
8608f435fffffff,249,64.59581,18.676367,8200.0,4119.0,4071.0,30.365853658536583,303.6585365853658
861f0506fffffff,245,55.376243,13.157423,20366.0,10252.0,10118.0,12.029853677698124,120.29853677698125
86088660fffffff,238,59.368879,18.008433,74022.0,37050.0,36983.0,3.2152603280105914,32.152603280105915
860894d47ffffff,238,57.757716,16.636976,12057.0,6159.0,5891.0,19.739570374056566,197.39570374056564
861f2819fffffff,234,56.210434,15.276023,5739.0,2784.0,2956.0,40.77365394668061,407.7365394668061
860882b37ffffff,233,59.759584,18.701358,10795.0,5601.0,5200.0,21.58406669754516,215.8406669754516
860886757ffffff,233,59.410065,17.836804,80075.0,39123.0,40956.0,2.909772088666875,29.097720886668746
861f21757ffffff,231,56.674375,12.857789,44101.0,22156.0,21979.0,5.23797646311875,52.3797646311875
860811097ffffff,230,63.399043,13.081506,1550.0,733.0,808.0,148.38709677419354,1483.8709677419354
861f2ec37ffffff,222,56.245748,12.863881,14028.0,7325.0,6702.0,15.825491873396064,158.25491873396064
861f2c427ffffff,213,56.833877,13.941042,13727.0,6875.0,6847.0,15.516864573468347,155.16864573468348
8608b198fffffff,207,59.328634,14.536414,6987.0,3500.0,3494.0,29.626449119793904,296.26449119793904
8608a804fffffff,206,62.485456,17.324865,8372.0,4187.0,4170.0,24.605828953655042,246.0582895365504
860885cafffffff,203,60.621607,16.775918,18813.0,9452.0,9359.0,10.790410886089408,107.90410886089407
8608aa927ffffff,200,61.727391,17.107401,15047.0,7855.0,7180.0,13.29168605037549,132.91686050375492
861f2e4c7ffffff,198,55.83912,13.303391,14577.0,7365.0,7205.0,13.58304177814365,135.8304177814365
8608c632fffffff,195,65.855281,23.143965,7695.0,3880.0,3805.0,25.341130604288498,253.41130604288497
861f2852fffffff,190,56.170303,14.863073,12181.0,6154.0,6037.0,15.59806255644036,155.9806255644036
8608b5667ffffff,183,59.310068,14.108919,17491.0,8769.0,8721.0,10.462523583557259,104.62523583557258
86081eca7ffffff,180,63.326242,14.448654,2561.0,1248.0,1331.0,70.28504490433426,702.8504490433426
8608b3287ffffff,176,58.752844,17.009159,25863.0,13284.0,12574.0,6.805088350152728,68.05088350152728
8608862d7ffffff,171,59.602496,18.138438,668.0,319.0,338.0,255.9880239520958,2559.880239520958
861f2539fffffff,169,57.487492,12.076193,22411.0,11497.0,10893.0,7.540939717103209,75.40939717103208
860885b5fffffff,165,61.305576,17.06281,7317.0,3723.0,3600.0,22.55022550225502,225.50225502255023
8608a640fffffff,162,59.654853,12.592136,10610.0,5485.0,5132.0,15.268614514608858,152.6861451460886
861f2aca7ffffff,162,55.429505,13.820031,21407.0,11261.0,10158.0,7.567618068855982,75.67618068855981
8608b1aa7ffffff,161,59.597698,15.222911,4235.0,2162.0,2047.0,38.01652892561983,380.1652892561983
86081e64fffffff,160,63.853662,15.556869,3864.0,1920.0,1952.0,41.40786749482402,414.0786749482402
86088675fffffff,157,59.43911,17.94148,69808.0,34416.0,35380.0,2.2490258996103596,22.4902589961036
8608b4897ffffff,153,58.3498,11.935649,27541.0,13959.0,13589.0,5.555353836098907,55.55353836098907
861f2d167ffffff,153,57.265699,16.447398,14340.0,7173.0,7160.0,10.669456066945607,106.69456066945607
860884937ffffff,150,60.152358,15.191639,5817.0,2933.0,2868.0,25.786487880350695,257.86487880350694
8608b1287ffffff,150,59.512096,15.99451,8580.0,4385.0,4196.0,17.482517482517483,174.82517482517483
8608c2957ffffff,148,65.841709,24.127664,6168.0,3055.0,3118.0,23.994811932555123,239.94811932555126
8608b41b7ffffff,145,58.283489,12.285821,26823.0,13268.0,13552.0,5.4058084479737545,54.058084479737545
860882d0fffffff,143,59.284612,18.520789,3614.0,1733.0,1866.0,39.568345323741006,395.68345323741005
861f05bafffffff,142,55.631913,13.096379,27005.0,13110.0,13891.0,5.2582855026846875,52.58285502684688
8608b1cdfffffff,137,59.126536,15.140105,15535.0,7820.0,7707.0,8.818796266495012,88.18796266495012
861f2d4f7ffffff,133,56.7438,15.908681,7793.0,3862.0,3915.0,17.066598229180034,170.66598229180036
86088662fffffff,132,59.367047,17.966309,145462.0,71724.0,73738.0,0.9074534930084833,9.074534930084834
8608a3867ffffff,130,61.004878,14.537003,8311.0,4211.0,4094.0,15.641920346528698,156.41920346528698
861f2504fffffff,130,57.65,12.016667,28701.0,14348.0,14371.0,4.529458903870945,45.294589038709454
861f2e48fffffff,130,55.794,13.110429,15044.0,7539.0,7494.0,8.64131879819197,86.41318798191969
8608b3a0fffffff,129,58.995551,16.205476,19335.0,9818.0,9513.0,6.671838634600466,66.71838634600465
861f218b7ffffff,127,57.107118,12.252091,16726.0,8496.0,8255.0,7.592969030252302,75.92969030252303
86081bc2fffffff,125,64.624471,16.655497,3283.0,1671.0,1612.0,38.07493146512336,380.74931465123365
86081b06fffffff,123,65.09562,17.112277,1360.0,665.0,689.0,90.44117647058823,904.4117647058823
